Count iVar2
--------------------
    1         0
    2         0
    3         0
    4       220
    5         0
    6         0
    7         1
    8         0
    9        14
   10         1
   11         0
   12         0
   13      3951
   14         0
   15        88
   16         0
   17         0
   18        94
   19         2
   20         0
   21         0
   22      6994
   23         0
   24         8
   25         0
   26         0
   27        76
   28         3
   29         0
   30         0
   31      9414
   32         0
   33        28
   34         0
   35         0
   36        59
   37         4
   38         0
   39         0
   40     11277
   41         0
   42        28
   43         0
   44         0
   45        45
   46         5
   47         0
   48         0
   49     12645
   50         0
   51         0
   52         0
   53         0
   54        32
   55         6
   56         0
   57         0
   58     13576
   59         0
   60        48
   61         0
   62         0
   63        20
   64         7
   65         0
   66         0
   67     14127
   68         0
   69        88
   70         0
   71         0
   72        11
   73         8
   74         0
   75         0
   76     14352
   77         0
   78        48
   79         0
   80         0
   81         2
   82         9
   83         0
   84         0
   85     14300
   86         0
   87        68
   88         0
   89         0
   90         5
   91        10
   92         0
   93         0
   94     14020
   95         0
   96         0
   97         0
   98         0
   99        11
  100        11
  101         0
  102         0
  103     13555
  104         0
  105         8
  106         0
  107         0
  108        15
  109        12
  110         0
  111         0
  112     12947
  113         0
  114        68
  115         0
  116         0
  117        18
